claim_id,policy_start,incident_date,claim_amount,state,vehicle_type,incident_type,fact_of_loss,reported_by,policy_limit,insured_age,prior_claims_count,fraud_flag,severity_score,days_to_incident
P34SLQGBU,2020-07-29,2020-12-30,4397.19,SD,Truck,Backing Collision,V2 turned left and struck the side of V1,claimant,20939,78,4,0,0.21,154
L1OT96GSK,2021-08-15,2022-05-04,10650.0,CO,Sedan,Theft,V2 was behind V1 when it began backing up,insured,15000,43,1,0,0.71,262
BOJAXNHRC,2018-10-11,2019-04-22,13610.24,CT,Coupe,Side-impact,V2 ran a stop sign and hit the side of V1,insured,97216,34,4,0,0.14,193
4HM08OPEV,2022-03-17,2022-11-18,39156.75,TX,Sedan,Head-on Collision,V1 was damaged by falling tree during storm,insured,52209,69,1,0,0.75,246
HTZ4VOYBJ,2021-09-23,2021-10-22,1000.0,NE,SUV,Head-on Collision,V2 turned left and struck the side of V1,claimant,100000,70,4,0,0.01,29
7SOYGY21J,2019-06-27,2019-07-02,22717.79,OR,Truck,Backing Collision,V1 was reported stolen from insured’s driveway,insured,98773,80,2,0,0.23,5
MAS41RU08,2021-08-13,2022-03-02,4866.4,IL,SUV,Backing Collision,V2 failed to stop and struck V1 from behind,claimant,30415,25,5,0,0.16,201
L4PJAGXLQ,2018-05-26,2019-03-15,67831.61,CO,Van,Weather Damage,V2 was behind V1 when it began backing up,insured,88093,24,3,0,0.77,293
0S5RMJPCZ,2022-02-25,2022-06-05,993.44,SC,Coupe,Weather Damage,V2 rear-ended V1 while stopped at a red light,claimant,99344,55,5,1,0.01,100
A3SFGHO4Q,2022-12-02,2023-01-07,4504.0,NY,SUV,Theft,V2 turned left and struck the side of V1,claimant,45040,47,3,1,0.1,36
HCG7FD143,2018-07-19,2018-10-04,39910.5,PA,Sedan,Head-on Collision,V2 rear-ended V1 while stopped at a red light,claimant,44345,47,1,0,0.9,77
XRV8DF2F5,2022-08-25,2023-06-25,21015.57,GA,Van,Rear-end Collision,V1 was damaged by falling tree during storm,claimant,23613,59,3,1,0.89,304
NK4OTBGDP,2018-12-29,2019-11-15,17767.89,IA,SUV,Theft,V2 rear-ended V1 while stopped at a red light,claimant,22491,69,4,1,0.79,321
UH4GBGO8U,2021-12-26,2021-12-31,8673.6,IN,Sedan,Theft,V2 entered wrong lane and collided with V1,claimant,86736,66,5,1,0.1,5
TD9JYJ3CT,2020-09-03,2021-03-28,15000.0,IN,Truck,Side-impact,Hailstorm caused significant roof and hood damage to V1,claimant,15000,24,1,0,1.0,206
5Q5173C7Q,2019-12-02,2020-10-26,20554.18,IN,Sedan,Weather Damage,V1 was damaged by falling tree during storm,insured,89366,53,5,0,0.23,329
25Y7KHG4G,2020-11-10,2020-11-15,43898.0,KY,SUV,Head-on Collision,V2 turned left and struck the side of V1,claimant,93400,79,4,1,0.47,5
7NIE3FKP9,2019-05-27,2020-03-29,42010.15,VT,Coupe,Side-impact,Hailstorm caused significant roof and hood damage to V1,insured,46165,30,4,0,0.91,307
6AIU01LC5,2019-05-15,2019-09-14,15000.0,WA,SUV,Side-impact,V2 crossed centerline and hit V1 head-on,claimant,100000,48,0,0,0.15,122
WW9LZHVEZ,2020-06-10,2021-02-26,150.0,SD,SUV,Backing Collision,V2 entered wrong lane and collided with V1,claimant,15000,69,3,0,0.01,261
9RTD6ENMB,2018-12-05,2019-06-13,14550.0,ND,Sedan,Backing Collision,V2 was behind V1 when it began backing up,insured,15000,70,4,0,0.97,190
9UPEPPOLG,2021-11-16,2022-09-02,150.0,NY,Van,Side-impact,V2 failed to stop and struck V1 from behind,insured,15000,18,2,0,0.01,290
5TK9VJ0VA,2022-10-20,2023-10-20,172.57,GA,Van,Head-on Collision,V2 failed to stop and struck V1 from behind,claimant,17257,34,1,0,0.01,365
0STKA0914,2021-07-23,2021-07-28,22295.46,AS,Truck,Theft,V1 was damaged by falling tree during storm,claimant,26862,49,1,1,0.83,5
ABAZD84VF,2021-03-15,2021-07-15,88287.46,IN,Sedan,Head-on Collision,V1 was damaged by falling tree during storm,insured,91018,61,5,0,0.97,122
16185IBJU,2021-10-16,2021-11-22,11400.0,ND,Coupe,Weather Damage,V2 failed to stop and struck V1 from behind,claimant,15000,75,4,1,0.76,37
BI6MGHAGM,2018-04-14,2018-04-19,67597.2,AL,Sedan,Side-impact,V1 was reported stolen from insured’s driveway,claimant,93885,77,4,1,0.72,5
B362M9E5I,2018-02-12,2018-02-21,9559.16,CO,Sedan,Head-on Collision,V2 turned left and struck the side of V1,claimant,18383,50,0,0,0.52,9
MLZ6IOSTU,2020-01-19,2020-02-03,43992.0,VT,Truck,Side-impact,V2 rear-ended V1 while stopped at a red light,insured,91650,49,3,0,0.48,15
ZHG1GF4OF,2020-09-08,2020-10-31,6217.12,KY,SUV,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,insured,88816,20,5,0,0.07,53
PATM0TXE3,2019-10-12,2020-10-11,15068.4,GA,Truck,Backing Collision,V2 rear-ended V1 while stopped at a red light,insured,25980,32,5,0,0.58,365
21D5C21O6,2020-06-12,2020-07-16,9000.0,ID,Truck,Side-impact,Hailstorm caused significant roof and hood damage to V1,claimant,15000,76,1,0,0.6,34
WW8EIRHRL,2021-07-03,2021-09-20,10493.5,KY,Coupe,Theft,V1 was missing after being parked overnight,claimant,20987,20,0,0,0.5,79
NF6NV5XU6,2020-03-05,2020-05-19,2040.32,MH,Sedan,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,51008,18,3,0,0.04,75
M9DEOCIRI,2018-11-06,2019-03-19,7800.0,AK,Sedan,Side-impact,V1 was missing after being parked overnight,insured,15000,79,0,0,0.52,133
O74JLYS7J,2021-02-16,2021-02-21,22664.39,VT,SUV,Backing Collision,V1 was missing after being parked overnight,insured,42763,33,0,0,0.53,5
D6Z6PQ1AU,2018-11-14,2019-01-19,10380.46,AK,Van,Head-on Collision,V2 rear-ended V1 while stopped at a red light,claimant,27317,18,0,0,0.38,66
F0TJ5JGZC,2019-06-14,2019-10-26,4924.08,WV,Van,Backing Collision,V1 was damaged by falling tree during storm,insured,17586,61,5,0,0.28,134
Y4MLJZFUD,2022-12-15,2023-08-16,41282.15,CO,Van,Rear-end Collision,V2 entered wrong lane and collided with V1,claimant,96005,18,5,0,0.43,244
I4SP7QFQ9,2019-11-19,2020-11-18,5681.72,VT,Coupe,Theft,V2 rear-ended V1 while stopped at a red light,insured,25826,78,2,0,0.22,365
N04FDTZJ2,2021-06-26,2022-03-18,12570.21,CO,Van,Theft,V2 rear-ended V1 while stopped at a red light,claimant,22053,78,1,0,0.57,265
L72V08KTR,2018-10-14,2019-06-05,36683.52,TX,SUV,Backing Collision,V2 turned left and struck the side of V1,insured,89472,57,3,0,0.41,234
PW3HHIGVU,2021-05-11,2021-05-20,43174.5,KY,Truck,Backing Collision,V2 failed to stop and struck V1 from behind,insured,86349,67,1,0,0.5,9
MMWCMZX8J,2022-05-26,2023-02-06,7250.4,VT,Sedan,Side-impact,V1 was missing after being parked overnight,insured,48336,66,4,0,0.15,256
5MS20T3T9,2020-04-15,2020-11-30,15047.16,MT,Van,Theft,V1 was damaged by falling tree during storm,insured,20334,80,1,0,0.74,229
LP2E2ASOE,2022-12-13,2023-08-17,52827.5,UT,Coupe,Theft,V1 was damaged by falling tree during storm,insured,96050,34,1,0,0.55,247
VGKH250CV,2018-01-30,2018-05-01,14850.0,VT,Coupe,Side-impact,V2 was behind V1 when it began backing up,insured,15000,31,5,0,0.99,91
GFGM1TM27,2022-07-07,2023-03-16,9169.18,VT,Sedan,Rear-end Collision,V1 struck V2 while reversing from parking spot,insured,19933,18,0,0,0.46,252
O19QTG15X,2022-04-21,2023-02-12,3750.0,VT,Sedan,Backing Collision,V1 struck V2 while reversing from parking spot,insured,15000,59,0,0,0.25,297
D82IJKUV2,2020-05-05,2021-02-16,943.62,MH,Sedan,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,94362,66,1,0,0.01,287
VXO3PEOJ3,2019-12-08,2020-10-31,3600.0,NE,Truck,Rear-end Collision,V2 crossed centerline and hit V1 head-on,claimant,15000,56,5,0,0.24,328
M48NGC4XA,2020-04-29,2020-05-24,65624.4,NE,Coupe,Head-on Collision,V1 was missing after being parked overnight,insured,91145,64,0,0,0.72,25
IC0DHNHWE,2018-09-16,2019-02-10,16700.76,FL,Sedan,Backing Collision,V2 ran a stop sign and hit the side of V1,claimant,46391,59,1,0,0.36,147
KQDVNAB87,2018-10-02,2018-11-03,12816.61,ND,Coupe,Theft,V2 turned left and struck the side of V1,insured,17557,36,4,0,0.73,32
FRBOO703B,2020-12-26,2021-09-08,19755.12,VT,Van,Theft,V1 was reported stolen from insured’s driveway,insured,47036,50,1,0,0.42,256
95OHS7AUI,2022-01-02,2022-12-26,1000.0,DE,Coupe,Theft,V1 struck V2 while reversing from parking spot,claimant,100000,31,0,0,0.01,358
GJD3X4YH5,2022-05-22,2022-07-28,537.37,IN,SUV,Theft,V2 turned left and struck the side of V1,insured,53737,79,0,0,0.01,67
HOA7WKDPE,2022-06-10,2023-03-14,5542.44,OR,Sedan,Weather Damage,V2 failed to stop and struck V1 from behind,insured,46187,78,5,0,0.12,277
HDM6K6HGQ,2019-07-28,2020-04-22,80856.1,CO,Truck,Rear-end Collision,V2 entered wrong lane and collided with V1,insured,98605,75,4,0,0.82,269
6SRP7B4HJ,2022-11-02,2022-12-03,22320.81,PA,Sedan,Theft,V2 crossed centerline and hit V1 head-on,insured,97047,73,1,0,0.23,31
KWBJPCLMS,2019-02-02,2019-05-18,79883.2,TX,SUV,Head-on Collision,V2 turned left and struck the side of V1,claimant,99854,66,2,0,0.8,105
P94RWGKG5,2018-10-17,2019-01-28,29583.57,IA,Coupe,Backing Collision,V2 rear-ended V1 while stopped at a red light,insured,51901,23,4,0,0.57,103
KHL1CRHM2,2019-04-26,2019-12-28,73000.0,NV,Van,Backing Collision,V2 failed to stop and struck V1 from behind,claimant,100000,80,0,0,0.73,246
2SNJU9F51,2022-11-22,2023-04-27,285.1,KY,Truck,Theft,V1 was missing after being parked overnight,insured,28510,50,5,0,0.01,156
NI4EUBYGS,2018-09-29,2018-10-04,2124.32,WA,Coupe,Theft,Hailstorm caused significant roof and hood damage to V1,claimant,19312,23,2,1,0.11,5
0JX9AMSM5,2018-02-07,2018-03-20,9652.5,MT,Truck,Theft,V2 rear-ended V1 while stopped at a red light,insured,96525,70,5,0,0.1,41
R7GOKLVA2,2022-05-10,2022-05-15,8863.47,GA,SUV,Side-impact,V2 turned left and struck the side of V1,insured,26859,61,1,0,0.33,5
UHTJPK4W0,2019-02-14,2019-05-20,12000.0,KY,Truck,Weather Damage,V1 was missing after being parked overnight,insured,100000,63,5,0,0.12,95
KQ8SJQONT,2019-05-28,2019-12-24,27492.81,NE,Van,Side-impact,V2 turned left and struck the side of V1,claimant,48233,43,0,0,0.57,210
QX45JOQYN,2021-11-24,2022-10-11,1477.7,IN,Truck,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,insured,29554,54,1,0,0.05,321
IT38CX5DN,2022-06-20,2023-06-20,64292.64,NV,Coupe,Head-on Collision,V2 was behind V1 when it began backing up,insured,94548,18,1,0,0.68,365
SVBCQ7G4A,2020-12-01,2021-07-04,31841.95,CT,SUV,Head-on Collision,V2 rear-ended V1 while stopped at a red light,claimant,90977,68,3,0,0.35,215
SMZX4NKIO,2022-08-16,2023-04-02,41000.0,AK,Van,Weather Damage,V2 entered wrong lane and collided with V1,claimant,100000,59,0,0,0.41,229
5B6IIJPSH,2018-01-17,2018-10-27,70000.0,AK,Sedan,Theft,V2 rear-ended V1 while stopped at a red light,insured,100000,32,1,0,0.7,283
OXXAOZ5E7,2018-01-26,2018-01-31,32128.92,WV,Van,Weather Damage,V2 turned left and struck the side of V1,claimant,89247,33,0,1,0.36,5
GGO46X1W1,2018-10-19,2019-03-25,2846.61,FL,Truck,Side-impact,V2 entered wrong lane and collided with V1,claimant,94887,67,3,0,0.03,157
QXPH1Y3BQ,2018-03-04,2018-08-13,17611.0,VT,SUV,Head-on Collision,V2 rear-ended V1 while stopped at a red light,claimant,17611,79,5,1,1.0,162
HOK3ZY5SR,2020-02-14,2020-02-24,63239.22,KY,Truck,Backing Collision,V1 was missing after being parked overnight,claimant,95817,75,2,0,0.66,10
O0L9LAYKE,2022-09-13,2023-06-21,52932.16,CO,Coupe,Backing Collision,V2 turned left and struck the side of V1,insured,99872,58,1,0,0.53,281
3ZCXU11TO,2019-03-18,2020-03-17,29512.72,TX,Truck,Weather Damage,V2 crossed centerline and hit V1 head-on,insured,50884,39,4,0,0.58,365
0BOGCC1U8,2022-12-27,2023-01-23,32000.0,VT,Sedan,Weather Damage,V1 was reported stolen from insured’s driveway,claimant,100000,79,1,0,0.32,27
6AG3U1SWY,2019-02-24,2019-12-29,11400.0,AS,Coupe,Backing Collision,V2 was behind V1 when it began backing up,insured,15000,43,3,0,0.76,308
UTFEFZ811,2019-07-14,2020-02-14,20539.92,WA,Sedan,Head-on Collision,V2 turned left and struck the side of V1,claimant,85583,67,4,0,0.24,215
ID07T3LJO,2022-02-19,2022-11-14,58361.6,OR,Truck,Theft,V2 turned left and struck the side of V1,claimant,91190,29,5,1,0.64,268
KBZVYX9D1,2022-10-15,2022-10-20,81104.28,GA,Van,Theft,V2 rear-ended V1 while stopped at a red light,claimant,97716,31,0,1,0.83,5
8K9VAK1VP,2022-12-16,2023-10-10,16800.56,GA,Sedan,Backing Collision,Hailstorm caused significant roof and hood damage to V1,claimant,30001,47,5,0,0.56,298
ANGW3PAJV,2022-03-03,2022-06-20,5615.04,NE,Coupe,Backing Collision,V1 struck V2 while reversing from parking spot,claimant,46792,32,0,0,0.12,109
F9I60K23Z,2022-07-14,2022-10-26,10050.0,KY,Coupe,Weather Damage,Hailstorm caused significant roof and hood damage to V1,claimant,15000,49,0,0,0.67,104
2Y3C0EQ4A,2019-02-04,2019-04-09,21986.16,NV,SUV,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,26174,74,0,0,0.84,64
W8JHE5S51,2022-10-19,2023-10-19,486.92,KY,SUV,Head-on Collision,V2 rear-ended V1 while stopped at a red light,claimant,24346,49,0,0,0.02,365
7DXJ17X6X,2019-12-01,2020-01-08,7200.0,NY,Van,Rear-end Collision,V1 struck V2 while reversing from parking spot,insured,15000,59,2,0,0.48,38
DA71EBVFW,2021-09-12,2022-07-18,24739.26,MH,Van,Theft,V2 rear-ended V1 while stopped at a red light,claimant,95151,71,2,1,0.26,309
B5HSTS68C,2019-11-13,2020-04-10,19249.1,NE,Van,Theft,V1 was reported stolen from insured’s driveway,insured,22646,71,4,1,0.85,149
FFF8TX134,2022-08-27,2023-04-20,49306.0,MH,SUV,Weather Damage,V2 failed to stop and struck V1 from behind,claimant,49306,18,1,1,1.0,236
L8XAFSUMU,2018-06-01,2018-09-27,898.75,UT,SUV,Weather Damage,V2 entered wrong lane and collided with V1,claimant,89875,44,4,1,0.01,118
XQJCTPVEV,2021-05-15,2021-11-30,21000.0,IL,SUV,Theft,V1 was missing after being parked overnight,claimant,100000,50,2,1,0.21,199
64GROABEA,2021-03-16,2021-10-23,1582.2,IN,SUV,Side-impact,V2 turned left and struck the side of V1,claimant,17580,69,1,0,0.09,221
WQW29PY5K,2020-12-05,2021-02-12,10950.0,SD,Coupe,Head-on Collision,V1 was damaged by falling tree during storm,insured,15000,31,3,0,0.73,69
H2NXXMS3R,2019-11-16,2020-03-03,40908.12,OR,Sedan,Theft,V1 was damaged by falling tree during storm,insured,92973,80,4,0,0.44,108
AG0KXXKXN,2020-01-17,2020-08-01,30495.75,NE,SUV,Head-on Collision,V2 ran a stop sign and hit the side of V1,claimant,41775,21,3,0,0.73,197
OAD78QIG6,2021-02-04,2021-10-20,13200.0,AK,Truck,Side-impact,V1 was reported stolen from insured’s driveway,insured,15000,38,0,0,0.88,258
UO3ZIN1A7,2021-09-16,2022-07-22,2442.56,NV,Truck,Rear-end Collision,V2 failed to stop and struck V1 from behind,insured,30532,18,0,0,0.08,309
KNE1YBMZP,2021-06-19,2022-02-03,18235.7,CO,Van,Theft,V1 was missing after being parked overnight,insured,52102,71,3,0,0.35,229
SCTPN7Y85,2018-03-26,2018-11-14,1950.0,PA,SUV,Head-on Collision,V2 turned left and struck the side of V1,insured,15000,47,1,0,0.13,233
3J5SFMZQR,2021-12-24,2022-11-27,16410.16,TX,Truck,Weather Damage,V1 was missing after being parked overnight,insured,26468,52,1,0,0.62,338
SJZO98IBO,2021-11-21,2022-08-15,12750.0,NE,Truck,Weather Damage,V2 failed to stop and struck V1 from behind,claimant,15000,78,1,1,0.85,267
Q18OVEUUR,2021-06-29,2021-12-21,71387.25,MA,Van,Theft,V1 was damaged by falling tree during storm,claimant,95183,80,1,0,0.75,175
656EBJVNF,2021-08-12,2021-08-17,15011.5,FL,Truck,Backing Collision,V2 was behind V1 when it began backing up,claimant,42890,46,4,1,0.35,5
OWAPCQ7VG,2021-03-12,2021-10-08,1000.0,CO,Truck,Rear-end Collision,V1 was damaged by falling tree during storm,claimant,100000,48,4,0,0.01,210
6N968XF6V,2021-03-16,2021-04-12,5729.04,IL,Van,Weather Damage,V2 ran a stop sign and hit the side of V1,insured,15914,80,4,0,0.36,27
8TH105OSZ,2022-06-23,2022-06-28,13234.52,WA,SUV,Side-impact,V2 was behind V1 when it began backing up,claimant,21346,73,3,1,0.62,5
QG6PKISB8,2018-01-05,2018-10-19,17014.84,CT,Truck,Head-on Collision,V2 was behind V1 when it began backing up,insured,23308,42,2,0,0.73,287
363DHTG1D,2019-04-07,2019-11-26,14213.5,GA,Van,Rear-end Collision,V2 crossed centerline and hit V1 head-on,claimant,22925,41,3,0,0.62,233
9OB6KB9Z7,2022-02-21,2022-05-31,9600.0,OR,Sedan,Rear-end Collision,V2 crossed centerline and hit V1 head-on,insured,15000,18,0,0,0.64,99
FW0C20X45,2020-02-15,2020-10-07,3991.36,AK,Coupe,Head-on Collision,V1 was missing after being parked overnight,insured,49892,40,0,0,0.08,235
0UHEH3RFW,2018-04-22,2019-04-22,3150.0,AK,SUV,Head-on Collision,V2 was behind V1 when it began backing up,insured,15000,67,0,0,0.21,365
TEVTX3NF2,2018-08-27,2018-09-08,38000.0,FL,Coupe,Head-on Collision,V1 was damaged by falling tree during storm,insured,100000,79,0,0,0.38,12
7E6L8XCGM,2020-12-14,2021-05-13,32000.0,ND,Sedan,Backing Collision,Hailstorm caused significant roof and hood damage to V1,insured,100000,34,1,0,0.32,150
IURPV2WJ6,2022-03-24,2023-01-19,8679.18,WV,Truck,Backing Collision,V2 crossed centerline and hit V1 head-on,claimant,51054,80,2,0,0.17,301
O6U9179B9,2018-09-18,2018-09-23,64671.4,VT,Truck,Side-impact,V2 rear-ended V1 while stopped at a red light,insured,95105,80,2,0,0.68,5
NT5DXI7QO,2018-07-14,2018-08-07,27100.2,AZ,Coupe,Theft,V2 failed to stop and struck V1 from behind,claimant,43710,33,0,0,0.62,24
DSU9F16X1,2018-06-23,2018-12-20,15389.46,SD,Truck,Rear-end Collision,V2 failed to stop and struck V1 from behind,claimant,28499,59,1,0,0.54,180
4AI7REFIC,2018-01-02,2018-08-31,29764.2,SD,Van,Backing Collision,V2 failed to stop and struck V1 from behind,claimant,49607,67,2,0,0.6,241
GXLOARRXC,2021-12-23,2022-01-06,941.75,AL,SUV,Backing Collision,V1 was missing after being parked overnight,claimant,94175,55,0,0,0.01,14
9MIDUX8FM,2020-07-13,2020-09-22,12257.57,AK,Sedan,Theft,V2 crossed centerline and hit V1 head-on,claimant,94289,18,3,1,0.13,71
W4VCHRHBK,2021-10-08,2022-07-09,886.39,AZ,Sedan,Theft,V2 turned left and struck the side of V1,claimant,88639,69,2,1,0.01,274
GK9JQTAJP,2022-06-11,2023-02-02,99764.0,ND,SUV,Side-impact,V2 turned left and struck the side of V1,insured,99764,35,4,0,1.0,236
P8OEI975Y,2019-08-16,2020-08-15,1000.0,MT,Coupe,Weather Damage,V2 rear-ended V1 while stopped at a red light,claimant,100000,55,1,0,0.01,365
QL1V2W9Y4,2019-03-10,2019-11-01,887.07,AK,Sedan,Side-impact,V2 turned left and struck the side of V1,claimant,88707,30,4,0,0.01,236
9DZ8FTMJN,2020-08-31,2021-08-31,11950.1,UT,Van,Head-on Collision,V2 turned left and struck the side of V1,insured,16370,80,3,0,0.73,365
8B3UMAM00,2020-04-14,2020-10-27,66262.7,OR,SUV,Side-impact,V1 was damaged by falling tree during storm,insured,94661,66,5,0,0.7,196
3L4JZWYIX,2020-11-27,2021-08-19,17264.0,OH,SUV,Side-impact,V1 was reported stolen from insured’s driveway,claimant,17264,45,1,0,1.0,265
7BRRBAI3A,2018-11-20,2019-09-07,57000.0,KY,Van,Backing Collision,V2 failed to stop and struck V1 from behind,claimant,100000,23,2,0,0.57,291
L6EJA1V2T,2021-10-21,2022-03-03,84000.0,KY,Sedan,Backing Collision,V1 was reported stolen from insured’s driveway,insured,100000,35,1,0,0.84,133
G2AHN110B,2018-02-17,2018-10-13,2484.72,IN,SUV,Rear-end Collision,V1 was missing after being parked overnight,claimant,27608,37,3,0,0.09,238
S6TO8WYAQ,2022-05-17,2023-02-07,15254.4,SC,SUV,Theft,V2 rear-ended V1 while stopped at a red light,claimant,43584,28,5,1,0.35,266
TFLVM8NYZ,2022-06-02,2023-01-03,6771.9,KY,Truck,Weather Damage,V2 ran a stop sign and hit the side of V1,insured,45146,63,1,0,0.15,215
HHIZEBG9K,2021-11-23,2022-01-13,3808.8,NE,Coupe,Theft,V2 turned left and struck the side of V1,claimant,47610,80,5,1,0.08,51
4SSB1PBZV,2019-06-29,2019-07-04,93961.89,IA,Sedan,Head-on Collision,V2 entered wrong lane and collided with V1,claimant,94911,71,3,1,0.99,5
R8VBYEZD4,2019-01-24,2019-07-02,11214.0,PA,Sedan,Side-impact,V2 failed to stop and struck V1 from behind,claimant,22428,54,1,0,0.5,159
3W95CH4FO,2019-07-08,2019-07-22,86000.0,CO,Truck,Rear-end Collision,V1 was missing after being parked overnight,insured,100000,41,2,0,0.86,14
DMJMBFOGE,2022-06-13,2023-04-10,12526.38,KY,SUV,Theft,V2 crossed centerline and hit V1 head-on,claimant,23197,57,1,0,0.54,301
VOKQY9FLV,2020-12-17,2021-10-18,6473.18,UT,Van,Rear-end Collision,V2 ran a stop sign and hit the side of V1,insured,92474,25,1,0,0.07,305
QARJZK08C,2021-01-15,2021-01-20,14550.0,CT,Van,Rear-end Collision,V1 was damaged by falling tree during storm,insured,15000,18,4,1,0.97,5
T6176C1K0,2021-10-15,2022-07-26,76930.4,KY,SUV,Backing Collision,V2 was behind V1 when it began backing up,insured,96163,23,5,0,0.8,284
3U0UP229E,2019-10-30,2019-12-04,42402.3,GA,Van,Theft,V2 ran a stop sign and hit the side of V1,insured,49305,72,1,0,0.86,35
OIZU7N9EN,2018-01-24,2018-07-18,4200.0,IN,Coupe,Theft,V1 was damaged by falling tree during storm,claimant,15000,33,1,0,0.28,175
0KERTQHNO,2018-09-29,2019-05-03,11732.11,GA,SUV,Head-on Collision,Hailstorm caused significant roof and hood damage to V1,claimant,90247,80,1,0,0.13,216
L3OBOPAB0,2019-08-20,2020-06-07,1800.0,WA,SUV,Head-on Collision,V2 turned left and struck the side of V1,claimant,15000,65,0,0,0.12,292
5DWJATE4V,2018-07-30,2019-07-30,173.41,IN,Sedan,Theft,V2 was behind V1 when it began backing up,claimant,17341,70,3,1,0.01,365
V9C0XFEVM,2019-10-29,2020-04-11,17536.0,UT,Sedan,Rear-end Collision,V2 crossed centerline and hit V1 head-on,claimant,54800,71,0,0,0.32,165
Y1QNQVIEX,2023-01-01,2023-03-03,49482.0,UT,Truck,Head-on Collision,V2 turned left and struck the side of V1,claimant,49482,64,1,0,1.0,61
GOBZPE8M3,2022-09-13,2022-12-03,58000.0,VT,SUV,Backing Collision,V2 rear-ended V1 while stopped at a red light,insured,100000,33,5,0,0.58,81
RKL39VEL0,2019-08-15,2019-08-20,67814.25,IN,Sedan,Side-impact,V2 turned left and struck the side of V1,insured,90419,44,5,0,0.75,5
8KKLSEAUZ,2022-12-12,2023-09-03,226.46,DE,Sedan,Theft,V1 was damaged by falling tree during storm,claimant,22646,28,0,0,0.01,265
VMMH541OO,2022-09-19,2022-09-24,4958.72,ND,Truck,Weather Damage,V2 failed to stop and struck V1 from behind,insured,19072,49,0,0,0.26,5
5VYFRRLOA,2022-08-31,2022-09-05,57358.3,GA,Truck,Theft,V2 rear-ended V1 while stopped at a red light,insured,94030,80,3,1,0.61,5
8O34LPQK5,2022-01-13,2023-01-13,1722.96,KY,Sedan,Theft,V2 ran a stop sign and hit the side of V1,insured,19144,24,5,0,0.09,365
FP7AH2CSA,2020-03-11,2020-12-10,7269.76,AS,Van,Head-on Collision,V2 entered wrong lane and collided with V1,insured,45436,65,0,0,0.16,274
NHAPYWDRD,2019-10-27,2020-05-30,88931.0,AZ,Truck,Theft,V1 struck V2 while reversing from parking spot,insured,88931,58,5,1,1.0,216
PMPCEJCIL,2021-11-27,2022-03-17,5000.0,MA,Truck,Side-impact,V2 was behind V1 when it began backing up,claimant,100000,49,0,0,0.05,110
PJZ80ND3Y,2022-09-12,2023-01-29,14700.0,WV,Van,Side-impact,V2 turned left and struck the side of V1,claimant,15000,71,1,0,0.98,139
9QB0E7CXS,2020-07-03,2021-06-24,10500.0,KY,SUV,Side-impact,V2 rear-ended V1 while stopped at a red light,insured,15000,55,2,0,0.7,356
UO874OHL5,2020-06-12,2020-06-17,25737.66,MA,Van,Rear-end Collision,V2 was behind V1 when it began backing up,insured,98991,36,3,0,0.26,5
THLVJYQTA,2022-04-23,2022-07-11,19403.0,PA,Van,Rear-end Collision,V1 struck V2 while reversing from parking spot,claimant,19403,59,2,1,1.0,79
YBGI0RR0T,2020-10-13,2021-10-13,74504.25,CO,Sedan,Theft,V1 struck V2 while reversing from parking spot,insured,99339,19,0,0,0.75,365
IAXUFVPIG,2020-08-25,2021-01-16,83888.73,KY,Coupe,Rear-end Collision,V1 was damaged by falling tree during storm,claimant,94257,48,2,1,0.89,144
3YVR2EU4K,2020-02-25,2020-11-10,15419.04,CO,Van,Head-on Collision,V1 was missing after being parked overnight,claimant,55068,45,0,0,0.28,259
B57L1376Q,2019-09-28,2020-06-30,24635.76,UT,Van,Rear-end Collision,V2 turned left and struck the side of V1,insured,26778,60,2,0,0.92,276
WVGFRI7FZ,2021-02-14,2022-01-26,12462.75,NY,Coupe,Head-on Collision,V1 was reported stolen from insured’s driveway,insured,49851,79,4,0,0.25,346
5XBIGUJ9C,2020-09-15,2020-11-04,10182.2,AS,Van,Backing Collision,V1 was damaged by falling tree during storm,insured,20780,41,3,0,0.49,50
WI2SKHKXV,2019-05-10,2019-05-16,65414.72,AK,Coupe,Backing Collision,V1 was missing after being parked overnight,claimant,86072,57,4,1,0.76,6
S6AYLLD4Y,2018-02-15,2018-04-01,19010.4,OR,SUV,Rear-end Collision,V2 failed to stop and struck V1 from behind,claimant,21360,18,4,1,0.89,45
EO6PPYWH8,2022-02-06,2022-02-11,15261.6,CO,Van,Head-on Collision,V1 was reported stolen from insured’s driveway,insured,25436,77,2,0,0.6,5
EA329HF1P,2019-12-06,2020-07-28,34000.0,IL,Coupe,Head-on Collision,V1 was reported stolen from insured’s driveway,claimant,100000,80,0,0,0.34,235
W26RQH7O0,2020-07-03,2020-10-11,69320.02,FL,Coupe,Side-impact,V1 was damaged by falling tree during storm,claimant,90026,71,1,0,0.77,100
ZBO70B2AU,2018-08-03,2018-08-08,17440.72,VT,Truck,Theft,Hailstorm caused significant roof and hood damage to V1,claimant,19819,53,4,1,0.88,5
